Product Name,Price
"Arctic Hunter B00346 15.6"" Laptop Backpack",2400
"Arctic Hunter B00328 15.6"" Laptop Backpack",2800
"Arctic Hunter B00388 15.6"" Laptop Backpack",2800
Redragon GB-93 Travel Laptop Backpack,2850
WIWU S400 Pro Foldable Aluminum Laptop Stand With Cooling Fan,2990
"Arctic Hunter B00350 15.6"" Laptop Backpack",3500
"Targus TSB913AP-70 City Smart 15.6"" Professional Back Pack",3850
"Smart Flairedge Celeron N4020C 15.6"" FHD Laptop",29400
Chuwi GemiBook XPro Intel Celeron N100 14.1 inch Full HD Laptop,34000
"Chuwi HeroBook Plus Intel N4020 15.6"" Inch FHD Laptop",34900
Chuwi GemiBook Plus Intel Celeron N100 15.6 inch Full HD Laptop,35000
"Walton Prelude N41 Pro Celeron N4120 14"" FHD Laptop",38550
"Walton Prelude N40 Pro Celeron N4020 14"" FHD Laptop",39750
"Walton Prelude N50 Pro Pentium Silver N5030 14"" FHD Laptop",42500
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Star Silver",45000
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Aqua Blue",45000
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Anchor Grey",45000
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Golden Matt Black",45000
"Smart Flairedge Core i3 12th Gen 15.6"" FHD Laptop",47250
"HP 250 G8 Core i3 11th Gen 15.6"" 4GB RAM 1TB HDD with windows Laptop",49400
"Acer Aspire Lite AL15-41 AMD Ryzen 3 5300U 15.6"" FHD Laptop",49500
"Acer TravelMate TMP214-53 Core i3 11th Gen 8GB RAM 14"" FHD Laptop",50000
"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB DDR5 RAM 512GB SSD 15.6"" FHD Laptop",50000
"Lenovo IdeaPad Slim 1 15AMN7 Ryzen 3 7320U 15.6"" FHD Laptop",50500
"HP 15s-eq2330AU AMD Ryzen 3 5300U 15.6"" FHD Laptop",51000
"Acer Aspire Lite AL15-52 Core i3 12th Gen 15.6"" FHD Laptop",51000
"Acer Aspire 3 A315-59-332B Core i3 12th Gen 15.6"" FHD Laptop",51500
"HP 15s-eq2789AU Ryzen 3 5300U 15.6"" FHD Laptop",52000
"HP 250 G8 Core i3 11th Gen 256GB SSD 1TB HDD SSD 15.6"" FHD Laptop with Windows",52500
"Lenovo IdeaPad Slim 3i 15IAU7 Core i3 12th Gen 15.6"" FHD Laptop (Arctic Grey)",53500
"Lenovo IdeaPad 3i 14IAU7 Core i3 12th Gen 14"" FHD Laptop",53500
"Lenovo IdeaPad SLIM 3i Intel Core i3 12th Gen 15.6"" FHD Laptop",53500
"HP 15s-fq5059TU Core i3 12th Gen 15.6"" HD Laptop",54000
"HP 250 G9 Core i3 12th Gen 15.6"" HD DDR4 RAM Laptop With 1 Year Warranty",54300
"Acer Aspire Lite AL15-52 Core i3 12th Gen 16GB RAM 15.6"" FHD Laptop",54500
"Walton Passion BX310U Core i3 10th Gen 15.6"" FHD Laptop",54550
ASUS Vivobook 15 X1504ZA i3 12th Gen 15.6 Inch FHD Laptop,54800
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 256GB SSD 15.6"" FHD Laptop",54900
"Infinix INBook Y2 Plus Core i5 11th Gen 15.6"" FHD Laptop",54990
"ASUS VivoBook 15 X515EA Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop",55000
"HP 250 G9 Core i3 12th Gen 15.6"" HD Laptop with 2 Year Warranty",55000
"HP 15s-fq5357TU Core i3 12th Gen 15.6"" FHD Laptop",55500
"Lenovo V15 Gen 4 Note PC Core i3 13th Gen 15.6"" FHD Laptop",55500
"Dell Inspiron 15 3520 Core i3 12th Gen 15.6"" FHD Laptop (For Business)",55500
ASUS Vivobook 15 X1504ZA-NJ864W i3-1215U 15.6 Inch FHD Laptop,55900
ASUS Vivobook 15 X1504ZA i3 12th Gen 15.6 Inch FHD Laptop Cool Silver,55900
"MSI Modern 15 F13MG Core i3 13th Gen 15.6"" FHD Laptop Platinum Gray",56500
"MSI Modern 15 F13MG Core i3 13th Gen 15.6"" FHD Laptop Urban Silver",56500
"Lenovo IdeaPad SLIM 3i 14IAU7 Intel Core i3 12th Gen 14"" FHD Laptop",56500
"Infinix INBook X2 Core i5 11th Gen 14"" FHD Laptop",56990
"HP 255 G9 Ryzen 5 5625U 15.6"" HD Laptop With 1 Year Warranty",57300
"Lenovo IdeaPad Slim 3 15IRU8 Core i3 13th Gen 15.6"" FHD Military Grade Laptop",57500
"Lenovo IdeaPad Slim 3i 15IRU8 Core i3 13th Gen 512GB SSD Abyss Blue 15.6"" FHD Military Grade Laptop",57500
"Lenovo IdeaPad Slim 3i 15IRU8 Core i3 13th Gen 15.6"" FHD Military Grade Laptop",57500
"Smart Flairedge Core i5 12th Gen 15.6"" FHD Laptop",57750
"ASUS VivoBook 15 X1500EA Core i3 11th Gen 15.6"" FHD Laptop",58000
"Acer Aspire Lite AL15-41 AMD Ryzen 5 5500U 15.6"" FHD Laptop",58500
"Asus ExpertBook B1 B1402CGA Core i3 N305 14"" FHD Laptop",59000
"Dell Inspiron 3530 Core i3 13th Gen 15.6"" FHD Laptop",59000
"HP 255 G9 Ryzen 5 5625U 15.6"" HD Laptop With 2 Year Warranty",59000
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 14"" FHD Laptop 8GB DDR5 RAM 512GB SSD with 2 Years Warranty",59500
"Lenovo IdeaPad Slim 3i 15IRU8 Core i3 13th Gen 15.6"" FHD Military Grade Laptop with Fingerprint",59500
"ASUS Vivobook 15 X1504VA-NJ260W Core i3 13th Gen 15.6"" FHD Laptop",59500
"Thunderobot IGER E1 Core i7 11th Gen 15.6"" FHD Laptop",59900
"Asus VivoBook Go 15 E1504FA Ryzen 3 7320U 15.6"" FHD Laptop",60000
"Asus ExpertBook B1 B1502CGA Intel Core i3-N305 15.6"" FHD Laptop",60500
"Walton Tamarind MX311G Core i3 11th Gen 14"" FHD Laptop",60500
"HP 15-fd0331TU Core i3 13th Gen 15.6"" FHD Laptop",60600
"HP 15s-eq2326AU AMD Ryzen 5 5500U 15.6"" FHD Laptop",60800
"Acer TravelMate TMP214-53 Core i5 11th Gen 512GB SSD 14"" FHD Laptop",60900
"Asus Vivobook S15 S513EA Core i3 11th Gen 4GB RAM 15.6"" OLED FHD Laptop",61000
"Lenovo V14 Gen 4 Note PC Core i3 13th Gen 14"" FHD IPS Laptop",61500
"Acer TravelLite TL14-52M Core i3 13th Gen 8GB RAM 512GB Storage 14"" FHD Laptop",61500
"ASUS Vivobook 15 X1504VA-NJ550W Core i3 13th Gen 15.6"" FHD Laptop",61500
